79	MA1-5GOR-ASER	Assembly (Serialized)	Terminal	MA1-5GOR	2	0
80	MA1-5GOR-ASER-P1	P - 019	Printer	MA1-5GOR-ASER	1	0
81	MA1-5GOF	5G0 Front	ProductionLine	MA1	6	0
82	MA1-5GOF-MIN	Machining In	Terminal	MA1-5GOF	1	0
83	MA1-5GOF-MIN-P1	P - 020	Printer	MA1-5GOF-MIN	1	0
84	MA1-5GOF-MOUT	Machining Out	Terminal	MA1-5GOF	2	1
85	MA1-5GOF-MOUT-P1	P - 021	Printer	MA1-5GOF-MOUT	1	1
86	MA1-5GOF-ASER	Assembly (Serialized)	Terminal	MA1-5GOF	2	0
87	MA1-5GOF-ASER-P1	P - 022	Printer	MA1-5GOF-ASER	1	0
88	MA2	Machining & Assembly 2	ProductionArea	MPP-MAD	8	0
89	MA2-RPY6B2	RPY 6b2 line2	ProductionLine	MA2	3	0
90	MA2-RPY6B2-MIN	Machining In	Terminal	MA2-RPY6B2	1	0
91	MA2-RPY6B2-MIN-P1	P - 023	Printer	MA2-RPY6B2-MIN	1	0
92	MA2-RPY6B2-MOUT	Machining Out	Terminal	MA2-RPY6B2	2	0
93	MA2-RPY6B2-MOUT-P1	P - 024	Printer	MA2-RPY6B2-MOUT	1	0
94	MA2-RPY6B2-AIN	Assembly In	Terminal	MA2-RPY6B2	3	0
95	MA2-RPY6B2-AIN-P1	P - 025	Printer	MA2-RPY6B2-AIN	1	0
96	MA2-RPY6B2-AFIN	Assembly Finished	Terminal	MA2-RPY6B2	4	0
97	MA2-RPY6B2-AFIN-P1	P - 026	Printer	MA2-RPY6B2-AFIN	1	0
98	MA2-RPYCAM2	RPY Line 2 Cam holders	ProductionLine	MA2	11	0
99	MA2-RPYCAM2-MIN-A	Rocker Shaft 5 Machining In - out	Terminal	MA2-RPYCAM2	3	0
100	MA2-RPYCAM2-MIN-A-P1	P - 027	Printer	MA2-RPYCAM2-MIN-A	1	0
101	MA2-RPYCAM2-MIN-B	Rocker Shaft 1-4 Machining In	Terminal	MA2-RPYCAM2	2	0
102	MA2-RPYCAM2-MIN-B-P1	P - 028	Printer	MA2-RPYCAM2-MIN-B	1	0
103	MA2-RPYCAM2-MOUT-A	Cam Holders Machining IN	Terminal	MA2-RPYCAM2	1	0
104	MA2-RPYCAM2-MOUT-A-P1	P - 029	Printer	MA2-RPYCAM2-MOUT-A	1	0
105	MA2-RPYCAM2-MOUT-B	Cam Holder Machining Out	Terminal	MA2-RPYCAM2	5	0
106	MA2-RPYCAM2-MOUT-B-P1	P - 030	Printer	MA2-RPYCAM2-MOUT-B	1	0
107	MA2-RPYCAM2-AIN	Assembly In	Terminal	MA2-RPYCAM2	6	0
108	MA2-RPYCAM2-AIN-P1	P - 031	Printer	MA2-RPYCAM2-AIN	1	0
109	MA2-RPYCAM2-AOUT1	Assembly Out	Terminal	MA2-RPYCAM2	7	0
110	MA2-RPYCAM2-AOUT1-P1	P - 032	Printer	MA2-RPYCAM2-AOUT1	1	0
111	MA2-RPYCAM2-AOUT2	Assembly Out 2	Terminal	MA2-RPYCAM2	8	1
112	MA2-RPYCAM2-AOUT2-P1	P - 033	Printer	MA2-RPYCAM2-AOUT2	1	1
113	MA2-RPYCAM2-AOUT3	Assembly Out 3	Terminal	MA2-RPYCAM2	9	1
114	MA2-RPYCAM2-AOUT3-P1	P - 034	Printer	MA2-RPYCAM2-AOUT3	1	1
115	MA2-RPYCAM1	RPY Line 1 Cam Holders	ProductionLine	MA2	12	0
116	MA2-RPYCAM1-MIN-A	Cam Holders Machining IN	Terminal	MA2-RPYCAM1	1	0
