AssetTag,ToolKind,Status,StatusName,Description,Family,Component,DieGeneration,Customer,CavityCount,MacolaParts,Cavities,TotalShots,GoodShots,ShotLifePlanned,OverPlannedLife,Restated,Vendor,Acquired,Source,Note
DM0040,DieMold,C,Current,"RPY C/H IN #1-4 die ""F""",RPY,CamHolder,F,Honda,4,"120-090,121-090,122-090,123-090",120-090 RPY Holder Comp No 1 In Cam; 121-090 RPY Holder Comp No 2 In Cam; 122-090 RPY Holder Comp No 3 In Cam; 123-090 RPY Holder Comp No 4 In Cam,361554,348529,200000,YES,,Accu-Die,2020-08-12,asset+report,
DM0041,DieMold,C,Current,"5PA Oil Pan die ""K""",5PA,OilPan,K,Honda,1,624-090,624-090 5PA Oil Pan,42055,38134,200000,,,Davis Tool,2020-08-12,asset+report,
DM0042,DieMold,C,Current,"5J6-1 Oil Pan die ""J""",5J6,OilPan,J,Honda Alabama,1,155-090,155-090 5J6-1 OIL PAN     DC,290719,265852,200000,YES,,Mangas Tool,2020-08-12,asset+report,
DM0043,DieMold,C,Current,"5J6-1 Oil Pan die ""K""",5J6,OilPan,K,Honda Alabama,1,155-090,155-090 5J6-1 OIL PAN     DC,195915,179247,200000,,,Mangas Tool,2020-08-12,asset+report,
DM0044,DieMold,C,Current,"RPY C/H #5,5,6 die ""F""",RPY,CamHolder,F,Honda,3,"124-090,129-090,130-090",124-090 RPY Holder Comp No 5 in Cam; 129-090 RPY Holder Comp No 5 Ex Cam; 130-090 RPY Holder Comp No 6 Ex Cam,246488,230892,200000,YES,,Accu-Die,2020-09-09,asset+report,
DM0045,DieMold,C,Current,"64AA Oil Pan die ""B""",64A,OilPan,B,Honda,1,648-090,648-090 64A Oil Pan,228060,207924,175000,YES,,Davis Tool,2020-09-09,asset+report,
DM0046,DieMold,C,Current,"59B/5PA Fuel Pump die ""R""",59B/5PA,FuelPump,R,Honda,2,"143-090,152-090",143-090 5PA Fuel Pump; 152-090 59B Base Comp Fuel Pump,153243,148593,200000,,,Davis Tool,2020-10-05,asset+report,combo die - 2 report entries summed
DM0047,DieMold,C,Current,"59B/5PA Fuel Pump die ""S""",59B/5PA,FuelPump,S,Honda,2,"143-090,152-090",143-090 5PA Fuel Pump; 152-090 59B Base Comp Fuel Pump,369671,355570,200000,YES,,Davis Tool,2020-10-05,asset+report,combo die - 2 report entries summed
DM0048,DieMold,W,Waiting for Approval,"6B2 Fuel Pump die ""E""",6B2,FuelPump,E,Honda,1,631-090,631-090 6B2 BASE COMP FUEL PUMP (DC),174789,158312,175000,,,Davis Tool,2020-10-05,asset+report,
DM0049,DieMold,C,Current,"6FBA Oil Pan die ""A""",6FB,OilPan,A,Honda,1,646-090,646-090 6FB Oil Pan,237745,218190,100000,YES,,Mangas Tool,2020-11-24,asset+report,
DM0050,DieMold,C,Current,"6MA C/H #1,5 die ""A""",6MA,CamHolder,A,Honda Anna Eng Plnt,4,"652-090,656-090,657-090,661-090",652-090 6MAA HOLDCOMP NO1 INTAKE (DC); 656-090 6MAA HOLDCOMP NO5 INTAKE (DC); 657-090 6MAA HOLDCOMP NO1 EXHAUST (DC); 661-090 6MAA HOLDCOMP NO5 EXHAUST (DC),201390,195519,100000,YES,,Metts,2020-12-22,asset+report,
DM0051,DieMold,C,Current,"6MA C/H #2,3,4 die ""A""",6MA,CamHolder,A,Honda Anna Eng Plnt,6,"653-090,654-090,655-090,658-090,659-090,660-090",653-090 6MAA HOLDCOMP NO2 INTAKE (DC); 654-090 6MAA HOLDCOMP NO3 INTAKE (DC); 655-090 6MAA HOLDCOMP NO4 INTAKE (DC); 658-090 6MAA HOLDCOMP NO2 EXHAUST (DC); 659-090 6MAA HOLDCOMP NO3 EXHAUST (DC); 660-090 6MAA HOLDCOMP NO4 EXHAUST (DC),312598,305641,100000,YES,,Metts,2020-12-22,asset+report,
DM0052,DieMold,C,Current,"6FBA Oil Passage die ""A""",6FB,OilPassage,A,Honda Anna Eng Plnt,1,645-090,"645-090 6FB Holder Comp, Oil Pass FRDC",101910,95123,100000,,,Metts,2021-01-06,asset+report,
DM0053,DieMold,,Not in shots report,"6FBA Holder Comp. #1 die ""A""",6FB,CamHolder,A,,,,,,,,,,Metts,2021-01-06,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0054,DieMold,B,Backup,"6MA Oil Pan die ""A""",6MA,OilPan,A,Honda Anna Eng Plnt,1,664-090,664-090 6MA Oil Pan (69F Finished),261059,240436,100000,,,Metts,2021-05-10,asset+report,
DM0055,DieMold,B,Backup,"5BA R/S #5 die ""I""",5BA,RockerShaft,I,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,191368,185127,150000,,,Accu-Die,2021-02-08,asset+report,
