AssetTag,Description,Status,CavityCode,MacolaPart,PartName
DM0037,"5BA R/S #5 die ""H""",B,a,140-090,5BAA Holder Comp #5 R/S
DM0038,"5GO R/S #1,2,3 die ""J""",C,a,578-090,5GO R/S #1    DC
DM0038,"5GO R/S #1,2,3 die ""J""",C,b,579-090,5GO R/S #2    DC
DM0038,"5GO R/S #1,2,3 die ""J""",C,c,580-090,5GO R/S #3    DC
DM0039,"RPY Compressor Bracket die ""E""",C,a,643-090,RPY COMPRESSOR BRACKET MPP
DM0040,"RPY C/H IN #1-4 die ""F""",C,a,120-090,RPY Holder Comp No 1 In Cam
DM0040,"RPY C/H IN #1-4 die ""F""",C,b,121-090,RPY Holder Comp No 2 In Cam
DM0040,"RPY C/H IN #1-4 die ""F""",C,c,122-090,RPY Holder Comp No 3 In Cam
DM0040,"RPY C/H IN #1-4 die ""F""",C,d,123-090,RPY Holder Comp No 4 In Cam
DM0041,"5PA Oil Pan die ""K""",C,a,624-090,5PA Oil Pan
DM0042,"5J6-1 Oil Pan die ""J""",C,a,155-090,5J6-1 OIL PAN     DC
DM0043,"5J6-1 Oil Pan die ""K""",C,a,155-090,5J6-1 OIL PAN     DC
DM0044,"RPY C/H #5,5,6 die ""F""",C,a,124-090,RPY Holder Comp No 5 in Cam
DM0044,"RPY C/H #5,5,6 die ""F""",C,b,129-090,RPY Holder Comp No 5 Ex Cam
DM0044,"RPY C/H #5,5,6 die ""F""",C,c,130-090,RPY Holder Comp No 6 Ex Cam
DM0045,"64AA Oil Pan die ""B""",C,a,648-090,64A Oil Pan
DM0046,"59B/5PA Fuel Pump die ""R""",C,a,143-090,5PA Fuel Pump
DM0046,"59B/5PA Fuel Pump die ""R""",C,b,152-090,59B Base Comp Fuel Pump
DM0047,"59B/5PA Fuel Pump die ""S""",C,a,143-090,5PA Fuel Pump
DM0047,"59B/5PA Fuel Pump die ""S""",C,b,152-090,59B Base Comp Fuel Pump
DM0048,"6B2 Fuel Pump die ""E""",W,a,631-090,6B2 BASE COMP FUEL PUMP (DC)
DM0049,"6FBA Oil Pan die ""A""",C,a,646-090,6FB Oil Pan
DM0050,"6MA C/H #1,5 die ""A""",C,a,652-090,6MAA HOLDCOMP NO1 INTAKE (DC)
DM0050,"6MA C/H #1,5 die ""A""",C,b,656-090,6MAA HOLDCOMP NO5 INTAKE (DC)
DM0050,"6MA C/H #1,5 die ""A""",C,c,657-090,6MAA HOLDCOMP NO1 EXHAUST (DC)
DM0050,"6MA C/H #1,5 die ""A""",C,d,661-090,6MAA HOLDCOMP NO5 EXHAUST (DC)
DM0051,"6MA C/H #2,3,4 die ""A""",C,a,653-090,6MAA HOLDCOMP NO2 INTAKE (DC)
DM0051,"6MA C/H #2,3,4 die ""A""",C,b,654-090,6MAA HOLDCOMP NO3 INTAKE (DC)
DM0051,"6MA C/H #2,3,4 die ""A""",C,c,655-090,6MAA HOLDCOMP NO4 INTAKE (DC)
DM0051,"6MA C/H #2,3,4 die ""A""",C,d,658-090,6MAA HOLDCOMP NO2 EXHAUST (DC)
DM0051,"6MA C/H #2,3,4 die ""A""",C,e,659-090,6MAA HOLDCOMP NO3 EXHAUST (DC)
DM0051,"6MA C/H #2,3,4 die ""A""",C,f,660-090,6MAA HOLDCOMP NO4 EXHAUST (DC)
DM0052,"6FBA Oil Passage die ""A""",C,a,645-090,"6FB Holder Comp, Oil Pass FRDC"
DM0054,"6MA Oil Pan die ""A""",B,a,664-090,6MA Oil Pan (69F Finished)
DM0055,"5BA R/S #5 die ""I""",B,a,140-090,5BAA Holder Comp #5 R/S
DM0056,"6B2 R/S #5 die ""E""",C,a,629-090,6B2 HOLDER COMP NO5 R/S (DC)
DM0057,"RPY R/S #1 die ""H""",C,a,135-090,RPY Holder Comp No 1 Rkr Shaft
DM0058,"RPY R/S #2,3,4 die ""H""",C,a,136-090,RPY Holder Comp No 2 Rkr Shaft
DM0058,"RPY R/S #2,3,4 die ""H""",C,b,137-090,RPY Holder Comp No 3 Rkr Shaft
DM0058,"RPY R/S #2,3,4 die ""H""",C,c,138-090,RPY Holder Comp No 4 Rkr Shaft
DM0059,"59B C/H #1,5 die ""K""",C,a,187-090,59B In Cam No 1 MPP
DM0059,"59B C/H #1,5 die ""K""",C,b,191-090,59B In Cam No 5 MPP
DM0059,"59B C/H #1,5 die ""K""",C,c,192-090,59B In Cam Ex 1 MPP
DM0059,"59B C/H #1,5 die ""K""",C,d,196-090,59B In Cam Ex 5 MPP
DM0060,"59B C/H #2,3,4 die ""K""",C,a,188-090,59B In Cam No 2 MPP
DM0060,"59B C/H #2,3,4 die ""K""",C,b,189-090,59B In Cam No 3 MPP
DM0060,"59B C/H #2,3,4 die ""K""",C,c,190-090,59B In Cam No 4 MPP
DM0060,"59B C/H #2,3,4 die ""K""",C,d,193-090,59B In Cam Ex 2 MPP
DM0060,"59B C/H #2,3,4 die ""K""",C,e,194-090,59B In Cam Ex 3 MPP
DM0060,"59B C/H #2,3,4 die ""K""",C,f,195-090,59B In Cam Ex 4 MPP
DM0061,"5BA Side Cover die ""I""",W,a,154-090,5BA Side Cover
DM0062,"64A Oil Pan die ""C""",W,a,648-090,64A Oil Pan
DM0063,"6NA Fuel Pump die ""A""",C,a,637-090,6NA FUEL PUMP
DM0064,"5GO R/S #1,2,3 die ""K""",W,a,578-090,5GO R/S #1    DC
DM0064,"5GO R/S #1,2,3 die ""K""",W,b,579-090,5GO R/S #2    DC
DM0064,"5GO R/S #1,2,3 die ""K""",W,c,580-090,5GO R/S #3    DC
DM0066,"5BA R/S #5 die ""J""",W,a,140-090,5BAA Holder Comp #5 R/S
DM0067,RPY Cam Holder Ex #1-4 die G,W,a,125-090,RPY Holder Comp No 1 Ex Cam
DM0067,RPY Cam Holder Ex #1-4 die G,W,b,126-090,RPY Holder Comp No 2 Ex Cam
DM0067,RPY Cam Holder Ex #1-4 die G,W,c,127-090,RPY Holder Comp No 3 Ex Cam
