AssetTag,Description,Status,CavityCode,MacolaPart,PartName
DM0148,"6Ma cam Holder in/Ex 1,2,3,4 F",W,d,658-090,6MAA HOLDCOMP NO2 EXHAUST (DC)
DM0148,"6Ma cam Holder in/Ex 1,2,3,4 F",W,e,659-090,6MAA HOLDCOMP NO3 EXHAUST (DC)
DM0148,"6Ma cam Holder in/Ex 1,2,3,4 F",W,f,660-090,6MAA HOLDCOMP NO4 EXHAUST (DC)
DM0149,"6FBA oil pan die ""E""",W,a,646-090,6FB Oil Pan
DM0150,"6NA Fuel Pump die ""D""",W,a,637-090,6NA FUEL PUMP
DM0151,"6VJ Fuel Pump die ""D""",W,a,638-090,6VJ Fuel Pump
DM0152,RPY Comp Bracket G,W,a,643-090,RPY COMPRESSOR BRACKET MPP
DM0153,"5GO R/S 1,2,3 Die ""M""",W,a,578-090,5GO R/S #1    DC
DM0153,"5GO R/S 1,2,3 Die ""M""",W,b,579-090,5GO R/S #2    DC
DM0153,"5GO R/S 1,2,3 Die ""M""",W,c,580-090,5GO R/S #3    DC
DM0157,"RPY CamHolder 5,5,6 H",W,a,125-090,RPY Holder Comp No 1 Ex Cam
DM0157,"RPY CamHolder 5,5,6 H",W,b,126-090,RPY Holder Comp No 2 Ex Cam
DM0157,"RPY CamHolder 5,5,6 H",W,c,127-090,RPY Holder Comp No 3 Ex Cam
DM0157,"RPY CamHolder 5,5,6 H",W,d,128-090,RPY Holder Comp No 4 Ex Cam
DM0157,"RPY CamHolder 5,5,6 H",W,e,131-090,RPY Holder Comp No 1 Exh Cam Lwr
DM0157,"RPY CamHolder 5,5,6 H",W,f,132-090,RPY Holder Comp No 2 Exh Cam Lwr
DM0157,"RPY CamHolder 5,5,6 H",W,g,133-090,RPY Holder Comp No 3 Exh Cam Lwr
DM0157,"RPY CamHolder 5,5,6 H",W,h,134-090,RPY Holder Comp No 4 Exh Cam Lwr
DM0158,RPY Cam Holder Intake H,W,a,125-090,RPY Holder Comp No 1 Ex Cam
DM0158,RPY Cam Holder Intake H,W,b,126-090,RPY Holder Comp No 2 Ex Cam
DM0158,RPY Cam Holder Intake H,W,c,127-090,RPY Holder Comp No 3 Ex Cam
DM0158,RPY Cam Holder Intake H,W,d,128-090,RPY Holder Comp No 4 Ex Cam
DM0158,RPY Cam Holder Intake H,W,e,131-090,RPY Holder Comp No 1 Exh Cam Lwr
DM0158,RPY Cam Holder Intake H,W,f,132-090,RPY Holder Comp No 2 Exh Cam Lwr
DM0158,RPY Cam Holder Intake H,W,g,133-090,RPY Holder Comp No 3 Exh Cam Lwr
DM0158,RPY Cam Holder Intake H,W,h,134-090,RPY Holder Comp No 4 Exh Cam Lwr
,CIVIC RNA WATER PUMP -- die 7,B,a,472-090,CIVIC RNA WATER PUMP
,5K8 Oil Pan -- die C,C,a,157-090,5K8 Oil Pan
,HEAT SINK (ELESYS) -- die II/JJ,B,a,545-090,HEAT SINK (ELESYS)
,HEAT SINK (ELESYS) -- die UU/VV,C,a,545-090,HEAT SINK (ELESYS)
,B Adaptor DC -- die 1,C,a,150-090,B Adaptor DC
,C Adaptor DC -- die 1,C,a,151-090,C Adaptor DC
,5MH Oil Pan DC -- die A,B,a,450-090,5MH Oil Pan DC
,5MH Oil Pan DC -- die B,C,a,450-090,5MH Oil Pan DC
,5J6-A000 Oil Pan -- die C,C,a,156-090,5J6-A000 Oil Pan
,5LA Oil Pan -- die D,C,a,510-090,5LA Oil Pan
,5LA Oil Pan -- die H,B,a,510-090,5LA Oil Pan
,6B2 BASE COMP FUEL PUMP (DC) -- die B,B,a,631-090,6B2 BASE COMP FUEL PUMP (DC)
,RPY Fuel Pump -- die B,B,a,153-090,RPY Fuel Pump
,RPY Fuel Pump -- die C,C,a,153-090,RPY Fuel Pump
,RPY Holder Comp No 1 Exh Cam Lwr -- die D,B,a,131-090,RPY Holder Comp No 1 Exh Cam Lwr
,RPY Holder Comp No 1 Exh Cam Lwr -- die D,B,b,132-090,RPY Holder Comp No 2 Exh Cam Lwr
,RPY Holder Comp No 1 Exh Cam Lwr -- die D,B,c,133-090,RPY Holder Comp No 3 Exh Cam Lwr
,RPY Holder Comp No 1 Exh Cam Lwr -- die D,B,d,134-090,RPY Holder Comp No 4 Exh Cam Lwr
,RPY Holder Comp No 1 Rkr Shaft -- die I,W,a,135-090,RPY Holder Comp No 1 Rkr Shaft
,RPY Holder Comp No 2 Rkr Shaft -- die I,W,a,136-090,RPY Holder Comp No 2 Rkr Shaft
,RPY Holder Comp No 2 Rkr Shaft -- die I,W,b,137-090,RPY Holder Comp No 3 Rkr Shaft
,RPY Holder Comp No 2 Rkr Shaft -- die I,W,c,138-090,RPY Holder Comp No 4 Rkr Shaft
,RPY Holder Comp No 5 Rkr Shaft -- die B,C,a,139-090,RPY Holder Comp No 5 Rkr Shaft
,RPY Holder Comp No 5 Rkr Shaft -- die C,W,a,139-090,RPY Holder Comp No 5 Rkr Shaft
,5A2 Fuel Pump -- die S,B,a,567-090,5A2 Fuel Pump
,5A2 Fuel Pump -- die T,C,a,567-090,5A2 Fuel Pump
,5A2 HOLDER COMP NO 1-2 EX CAM -- die D,B,a,588-090,5A2 HOLDER COMP NO 1-2 EX CAM
,5A2 HOLDER COMP NO 1 IN CAM DC -- die D,B,a,583-090,5A2 HOLDER COMP NO 1 IN CAM DC
,5A2 HOLDER COMP NO 1 IN CAM DC -- die D,B,b,589-090,5A2 HOLDER COMP NO 3 EX CAM DC
,5A2 HOLDER COMP NO 4 EX CAM DC -- die E,C,a,590-090,5A2 HOLDER COMP NO 4 EX CAM DC
,5A2 HOLDER COMP NO 4 EX CAM DC -- die E,C,b,591-090,5A2 HOLDER COMP NO 5 EX CAM DC
,5A2 HOLDER COMP NO 1-2 EX CAM -- die E,C,a,588-090,5A2 HOLDER COMP NO 1-2 EX CAM
,5A2 HOLDER COMP NO 1 IN CAM DC -- die E,C,a,583-090,5A2 HOLDER COMP NO 1 IN CAM DC
,5A2 HOLDER COMP NO 1 IN CAM DC -- die E,C,b,589-090,5A2 HOLDER COMP NO 3 EX CAM DC
,5A2 HOLDER COMP NO 2 IN CAM DC -- die G,C,a,584-090,5A2 HOLDER COMP NO 2 IN CAM DC
,5A2 HOLDER COMP NO 2 IN CAM DC -- die G,C,b,585-090,5A2 HOLDER COMP NO 3 IN CAM DC
,5A2 HOLDER COMP NO 2 IN CAM DC -- die G,C,c,586-090,5A2 HOLDER COMP NO 4 IN CAM DC
,5A2 HOLDER COMP NO 2 IN CAM DC -- die G,C,d,587-090,5A2 HOLDER COMP NO 5 IN CAM DC
,5A2 HOLDER COMP NO 6 EX CAM DC -- die C,C,a,592-090,5A2 HOLDER COMP NO 6 EX CAM DC
,5A2 R/S #5  DC -- die R,C,a,597-090,5A2 R/S #5  DC
,5A2 R/S #1    DC -- die R,C,a,593-090,5A2 R/S #1    DC
,5A2 R/S #1    DC -- die S,B,a,593-090,5A2 R/S #1    DC
,5A2 R/S #4    DC -- die I,B,a,596-090,5A2 R/S #4    DC
,5A2 R/S #3    DC -- die I,B,a,595-090,5A2 R/S #3    DC
,5A2 R/S #2    DC -- die I,B,a,594-090,5A2 R/S #2    DC
,5A2 R/S #3    DC -- die J,C,a,595-090,5A2 R/S #3    DC
,5A2 R/S #2    DC -- die J,C,a,594-090,5A2 R/S #2    DC
,5A2 R/S #4    DC -- die J,C,a,596-090,5A2 R/S #4    DC
,5A2 R/S #5  DC -- die Q,B,a,597-090,5A2 R/S #5  DC
,6AT (RT4) Cooler RTN -- die 7A/7B,C,a,569-090,6AT (RT4) Cooler RTN
,6AT (RV2) CAP A L SIDE -- die 6A/6B,C,a,566-090,6AT (RV2) CAP A L SIDE
,"6FB Holder Comp, No 1 Cam R -- die A & B",C,a,644-090,"6FB Holder Comp, No 1 Cam R"
,6MA Oil Pan (69F Finished) -- die F,W,a,664-090,6MA Oil Pan (69F Finished)
,Housing Half Shaft Support -- die K/L,B,a,540-090,Housing Half Shaft Support
,Housing Half Shaft Support -- die M/N,C,a,540-090,Housing Half Shaft Support
,P8A Oil Pan DC -- die M,B,a,118-090,P8A Oil Pan DC
,PGE Oil Pan DC -- die E,B,a,111-090,PGE Oil Pan DC
,R1A OIL PAN                 DC -- die E,C,a,560-090,R1A OIL PAN                 DC
,R5A (CRV) OIL PAN -- die H,C,a,561-090,R5A (CRV) OIL PAN
,R70 Thermo Cover -- die Q/R,B,a,518-090,R70 Thermo Cover
,RDJ Oil Pan DC -- die I,B,a,423-090,RDJ Oil Pan DC
,RNA Oil Pan -- die M,B,a,470-090,RNA Oil Pan
,RNO (RNOX) OIL PAN          DC -- die P,B,a,573-090,RNO (RNOX) OIL PAN          DC
,RXO oil pan -- die A,C,a,559-090,RXO oil pan
,SZAX BASE SUPPORT HALF SHAFT -- die M,B,a,574-090,SZAX BASE SUPPORT HALF SHAFT
,SZAX BASE SUPPORT HALF SHAFT -- die N,C,a,574-090,SZAX BASE SUPPORT HALF SHAFT
