Customer,StatusCode,Status,PartCode6,ModelIdentifier,PartDescription,Die,TotalShots,GoodShots,ShotLifePlanned
Honda,W,Waiting for Approval,643,RPY,RPY COMPRESSOR BRACKET MPP,F,197056,187901,0
Honda,W,Waiting for Approval,643,RPY,RPY COMPRESSOR BRACKET MPP,G,180,123,0
Honda,B,Backup,153,RPY,RPY Fuel Pump,B,135778,126903,150000
Honda,C,Current,153,RPY,RPY Fuel Pump,C,101635,94742,150000
Honda,B,Backup,125,RPY,RPY Holder Comp No 1 Ex Cam,D,179412,168193,150000
Honda,C,Current,125,RPY,RPY Holder Comp No 1 Ex Cam,F,241586,233855,200000
Honda,W,Waiting for Approval,125,RPY,RPY Holder Comp No 1 Ex Cam,G,314214,301495,200000
Honda,W,Waiting for Approval,125,RPY,RPY Holder Comp No 1 Ex Cam,H,72446,68624,0
Honda,B,Backup,131,RPY,RPY Holder Comp No 1 Exh Cam Lwr,D,183492,172760,150000
Honda,C,Current,131,RPY,RPY Holder Comp No 1 Exh Cam Lwr,F,326537,313906,200000
Honda,W,Waiting for Approval,131,RPY,RPY Holder Comp No 1 Exh Cam Lwr,G,210034,196235,0
Honda,W,Waiting for Approval,131,RPY,RPY Holder Comp No 1 Exh Cam Lwr,H,94664,87530,0
Honda,B,Backup,120,RPY,RPY Holder Comp No 1 In Cam,D,255461,243714,200000
Honda,C,Current,120,RPY,RPY Holder Comp No 1 In Cam,F,361554,348529,200000
Honda,W,Waiting for Approval,120,RPY,RPY Holder Comp No 1 In Cam,G,179554,168938,0
Honda,B,Backup,135,RPY,RPY Holder Comp No 1 Rkr Shaft,G,294205,282872,175000
Honda,C,Current,135,RPY,RPY Holder Comp No 1 Rkr Shaft,H,244419,237290,175000
Honda,W,Waiting for Approval,135,RPY,RPY Holder Comp No 1 Rkr Shaft,I,188272,181091,0
Honda,W,Waiting for Approval,135,RPY,RPY Holder Comp No 1 Rkr Shaft,J,143576,137274,0
Honda,W,Waiting for Approval,135,RPY,RPY Holder Comp No 1 Rkr Shaft,K,47061,43895,0
Honda,B,Backup,126,RPY,RPY Holder Comp No 2 Ex Cam,D,179529,168313,150000
Honda,C,Current,126,RPY,RPY Holder Comp No 2 Ex Cam,F,240303,232645,200000
Honda,W,Waiting for Approval,126,RPY,RPY Holder Comp No 2 Ex Cam,G,315020,302288,200000
Honda,W,Waiting for Approval,126,RPY,RPY Holder Comp No 2 Ex Cam,H,72446,68624,0
Honda,B,Backup,132,RPY,RPY Holder Comp No 2 Exh Cam Lwr,D,184098,172729,150000
Honda,C,Current,132,RPY,RPY Holder Comp No 2 Exh Cam Lwr,F,326537,313906,200000
Honda,W,Waiting for Approval,132,RPY,RPY Holder Comp No 2 Exh Cam Lwr,G,210034,196235,0
Honda,W,Waiting for Approval,132,RPY,RPY Holder Comp No 2 Exh Cam Lwr,H,94664,87530,0
Honda,B,Backup,121,RPY,RPY Holder Comp No 2 In Cam,D,255146,243417,200000
