SchemaName,TableName,Ord,ColumnName,DataType,Nullable,Identity_,IsPK
emperf,ActionData,2,Date,datetime,NOT NULL
emperf,ActionData,3,PlantPerfID,int,NOT NULL
emperf,ActionData,4,LinePerfID,int,NOT NULL
emperf,ActionData,5,TaskPerfID,int,NOT NULL
emperf,ActionData,6,EventPerfID,int,NOT NULL
emperf,ActionData,7,ActionPerfID,int,NOT NULL
emperf,ActionData,8,NumOccurrences,int,NULL
emperf,ActionData,9,AverageDuration,int,NULL
emperf,ActionData,10,TotalDuration,int,NULL
emperf,Event,1,EventPerfID,int,NOT NULL,IDENTITY,PK
emperf,Event,2,EventID,int,NOT NULL
emperf,Event,3,Name,varchar(50),NOT NULL
emperf,Event,4,TaskID,int,NOT NULL
emperf,EventData,1,EventDataID,int,NOT NULL,IDENTITY,PK
emperf,EventData,2,Date,datetime,NOT NULL
emperf,EventData,3,PlantPerfID,int,NOT NULL
emperf,EventData,4,LinePerfID,int,NOT NULL
emperf,EventData,5,TaskPerfID,int,NOT NULL
emperf,EventData,6,EventPerfID,int,NOT NULL
emperf,EventData,7,NumOccurrences,int,NULL
emperf,EventData,8,AverageDuration,int,NULL
emperf,EventData,9,TotalDuration,int,NULL
emperf,Line,1,LinePerfID,int,NOT NULL,IDENTITY,PK
emperf,Line,2,LineID,int,NOT NULL
emperf,Line,3,Name,varchar(50),NOT NULL
emperf,Line,4,PlantID,int,NOT NULL
emperf,MessageData,1,MessageDataID,int,NOT NULL,IDENTITY,PK
emperf,MessageData,2,MessageDateTime,datetime,NOT NULL
emperf,MessageData,3,EngineName,varchar(50),NOT NULL
emperf,MessageData,4,ServerName,varchar(50),NOT NULL
emperf,MessageData,5,LineName,varchar(50),NOT NULL
emperf,MessageData,6,NumOccurrences,int,NULL
emperf,Plant,1,PlantPerfID,int,NOT NULL,IDENTITY,PK
emperf,Plant,2,PlantID,int,NOT NULL
emperf,Plant,3,Name,varchar(50),NOT NULL
emperf,ProcessingHistory,1,Name,varchar(50),NOT NULL
emperf,ProcessingHistory,2,Value,datetime,NULL
emperf,Task,1,TaskPerfID,int,NOT NULL,IDENTITY,PK
emperf,Task,2,TaskID,int,NOT NULL
emperf,Task,3,Name,varchar(50),NOT NULL
emperf,Task,4,LineID,int,NOT NULL,,
