SchemaName,TableName,Ord,ColumnName,DataType,Nullable,Identity_,IsPK
dbo,FinalAssemblyDashboardConfiguration,2,RefreshInterval,int,NOT NULL
dbo,FinalAssemblyDashboardConfiguration,3,LotHistoryDisplayCount,int,NOT NULL
dbo,FinalAssemblyDashboardConfiguration,4,ContainerCreationIsSupported,bit,NOT NULL
dbo,FinalAssemblyDashboardConfiguration,5,CameraImageDisplayMode,tinyint,NULL
dbo,FinalAssemblyDashboardConfiguration,6,CameraIPAddresses,varchar(500),NULL
dbo,FinalAssemblyDashboardConfiguration,7,IsVisionModeEnabled,bit,NOT NULL
dbo,FinalAssemblyDashboardConfiguration,8,IsScaleModeEnabled,bit,NOT NULL
dbo,FinalAssemblyDashboardConfiguration,9,EMLineName,varchar(50),NULL
dbo,FinalAssemblyDashboardConfiguration,10,EMTaskName,varchar(50),NULL
dbo,FinalAssemblyDashboardConfiguration,11,EMTargetWeightChangeEvent,varchar(50),NULL
dbo,FinalAssemblyDashboardConfiguration,12,MessageType,varchar(250),NULL
dbo,FinalAssemblyDashboardConfiguration,13,VisionInterface,varchar(100),NULL
dbo,FinalAssemblyDashboardConfiguration,14,CameraImageRotations,varchar(100),NULL
dbo,FinalAssemblyDashboardConfiguration,15,BeforeContainerCreateScriptID,int,NULL
dbo,FinalAssemblyDashboardConfiguration,16,PLCPort,varchar(25),NULL
dbo,IdentifierFormat,1,IdentifierFormatID,int,NOT NULL,IDENTITY,PK
dbo,IdentifierFormat,2,Name,nvarchar(100),NOT NULL
dbo,IdentifierFormat,3,Description,nvarchar(max),NULL
dbo,IdentifierFormat,4,Format,nvarchar(50),NOT NULL
dbo,IdentifierFormat,5,StartingCounterValue,int,NULL
dbo,IdentifierFormat,6,EndingCounterValue,int,NULL
dbo,IdentifierFormat,7,LastCounterValue,int,NULL
dbo,IdentifierFormat,8,StartTimestamp,datetime,NULL
dbo,IdentifierFormat,9,ResetIntervalInMinutes,int,NULL
dbo,IdentifierFormat,10,LastResetTimestamp,datetime,NULL
dbo,LabelPrinter,1,LabelPrinterID,int,NOT NULL,IDENTITY,PK
dbo,LabelPrinter,2,Name,nvarchar(100),NOT NULL
dbo,LabelPrinter,3,Description,nvarchar(max),NULL
dbo,LabelPrinter,4,CreatedTimestamp,datetime,NOT NULL
dbo,LabelPrinter,5,ModifiedTimestamp,datetime,NOT NULL
dbo,LabelPrinter,6,WorkCellID,int,NOT NULL
dbo,LabelPrinter,7,Path,nvarchar(900),NOT NULL
