Id,Name,Description,MaterialClass,IsFinishedGood,IsSupplyPart,Weight,Uom,SortRecipeNumber,CountryOfOrigin
220,1120A-5LA ,OIL PAN RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
231,1120R-5J6 RAW,5J6 OIL PAN RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
299,11300-6S9A,CASE OIL SEAL RAW,Offsite Components,0,0,1.000,Pound,NULL,JP
283,11300-P8A RAW,P8A RAW,Offsite Components,0,0,NULL,NULL,NULL,NULL
280,11300-R70,CASE OIL SEAL RAW,Offsite Components,0,0,1.000,Pound,NULL,NULL
284,11300-RCA RAW,RCA RAW,Offsite Components,0,0,1.000,Pound,NULL,NULL
259,12231-P8A RAW,CTF RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
264,12231-R1A ,NO1 RKR SHAFT RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
265,12232-R1A,NO2 RKR SHAFT RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
266,12235-R1A,NO5 RKR SHAFT RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
417,12270-5PA RAW,5PA Fuel Pump,Offsite Components,0,0,1.000,Pound,NULL,US
433,12270-66V Raw,66V Fuel Pump Raw,Offsite Components,0,0,1.780,Pound,NULL,US
363,12270-6MA-J000,FUEL PUMP RAW,Offsite Components,0,0,NULL,NULL,NULL,PH
396,12270-6NA Raw,6NA Fuel Pump Raw,Offsite Components,0,0,1.000,Pound,NULL,US
395,12270-6VJ Raw,6VJ fuel Pump Raw,Offsite Components,0,0,1.000,Pound,NULL,US
376,17145-6MD A000,"Plate, Int MNFLD",Offsite Components,0,0,1.000,Pound,NULL,US
330,19300-6CA-A010-M2,THERMOSTAT,Offsite Components,0,0,NULL,NULL,NULL,NULL
329,19305-5K0-A000,"RUBBER, THERMO MTG",Offsite Components,0,0,1.000,Pound,NULL
332,19311-6MAA-J011,6MA COVER THERMO,Offsite Components,0,0,NULL,NULL,NULL,NULL
224,19315-RNA RAW,WATER OUTLET RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
245,19320-5AA,5AA thermo case raw,Offsite Components,0,1,NULL,NULL,NULL,NULL
